0	1	2	3	4	5
P52706	Prunus serotina	Viridiplantae	563	27	Validation_1
Q8WP90	Solenopsis invicta	Metazoa	153	19	Validation_1
P02701	Gallus gallus	Metazoa	152	24	Validation_1
P10762	Locusta migratoria	Metazoa	179	16	Validation_1
P42264	Rattus norvegicus	Metazoa	919	31	Validation_1
Q8T4J9	Manduca sexta	Metazoa	180	15	Validation_1
P78581	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	588	18	Validation_1
P17813	Homo sapiens	Metazoa	658	25	Validation_1
Q9Y6C2	Homo sapiens	Metazoa	1016	21	Validation_1
Q91XZ4	Mus musculus	Metazoa	772	28	Validation_1
P00651	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	130	26	Validation_1
P13598	Homo sapiens	Metazoa	275	24	Validation_1
I1SB12	Microdochium nivale	Fungi	495	22	Validation_1
P21128	Homo sapiens	Metazoa	410	18	Validation_1
Q9HBE5	Homo sapiens	Metazoa	538	19	Validation_1
Q8S2W4	Arabidopsis thaliana	Viridiplantae	61	22	Validation_1
Q9ES58	Rattus norvegicus	Metazoa	327	23	Validation_1
Q86YD3	Homo sapiens	Metazoa	366	26	Validation_1
Q6UWV2	Homo sapiens	Metazoa	235	31	Validation_1
P05367	Mus musculus	Metazoa	122	19	Validation_1
P32478	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	413	18	Validation_1
O95633	Homo sapiens	Metazoa	263	26	Validation_1
A0A0D1DWQ2	Mycosarcoma maydis	Fungi	290	21	Validation_1
Q7M4T0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	480	17	Validation_1
Q9Y279	Homo sapiens	Metazoa	399	19	Validation_1
P48439	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	350	22	Validation_1
C0HL38	Trichonephila clavata	Metazoa	60	19	Validation_1
P08069	Homo sapiens	Metazoa	1367	30	Validation_1
P07981	Hypocrea jecorina	Fungi	459	22	Validation_1
Q9GQV7	Aedes aegypti	Metazoa	128	22	Validation_1
P19801	Homo sapiens	Metazoa	751	19	Validation_1
G8YYA5	Androctonus amoreuxi	Metazoa	74	22	Validation_1
P31723	Penicillium citrinum	Fungi	511	35	Validation_1
B2KNH9	Dendrobium findlayanum	Viridiplantae	167	24	Validation_1
P28088	Bos taurus	Metazoa	441	26	Validation_1
Q6UX39	Homo sapiens	Metazoa	209	16	Validation_1
Q6TPK4	Actinidia deliciosa	Viridiplantae	116	26	Validation_1
C0H9B6	Salmo salar	Metazoa	413	19	Validation_1
P01888	Bos taurus	Metazoa	118	20	Validation_1
P81160	Drosophila melanogaster	Metazoa	54	21	Validation_1
P81605	Homo sapiens	Metazoa	110	19	Validation_1
Q8WQK0	Cotesia rubecula	Metazoa	65	23	Validation_1
Q8TDQ1	Homo sapiens	Metazoa	290	19	Validation_1
Q8W257	Ptilota filicina	Other	500	21	Validation_1
P09230	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	454	15	Validation_1
P27654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210	19	Validation_1
P19400	Ascaris suum	Metazoa	169	20	Validation_1
P01903	Homo sapiens	Metazoa	254	25	Validation_1
P07439	Megabalanus rosa	Metazoa	162	24	Validation_1
P0DUS5	Doratifera vulnerans	Metazoa	57	24	Validation_1
P20160	Homo sapiens	Metazoa	251	19	Validation_1
P04639	Rattus norvegicus	Metazoa	259	18	Validation_1
O75711	Homo sapiens	Metazoa	98	20	Validation_1
P43497	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	92	20	Validation_1
Q94733	Rhodnius prolixus	Metazoa	202	23	Validation_1
Q07654	Homo sapiens	Metazoa	80	21	Validation_1
Q7Q7R8	Anopheles gambiae	Metazoa	89	29	Validation_1
Q9VMD9	Drosophila melanogaster	Metazoa	2188	18	Validation_1
Q8MMH0	Pimpla hypochondriaca	Metazoa	109	21	Validation_1
Q64HC7	Armadillidium vulgare	Metazoa	73	19	Validation_1
P0DUS7	Doratifera vulnerans	Metazoa	56	19	Validation_1
Q9GZX6	Homo sapiens	Metazoa	179	33	Validation_1
O76076	Homo sapiens	Metazoa	250	23	Validation_1
Q875I9	Aspergillus fumigatus	Fungi	238	17	Validation_1
Q76IQ4	Oncorhynchus mykiss	Metazoa	111	26	Validation_1
Q13421	Homo sapiens	Metazoa	630	36	Validation_1
Q5B428	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	244	23	Validation_1
B1P0S1	Pseudopleuronectes americanus	Metazoa	218	23	Validation_1
O43155	Homo sapiens	Metazoa	660	35	Validation_1
Q63372	Rattus norvegicus	Metazoa	1530	30	Validation_1
F2QXM5	Komagataella phaffii (strain ATCC 76273 / CBS 7435 / CECT 11047 / NRRL Y-11430 / Wegner 21-1)	Fungi	587	19	Validation_1
P39037	Sus scrofa	Metazoa	232	15	Validation_1
Q6UX52	Homo sapiens	Metazoa	265	20	Validation_1
P06865	Homo sapiens	Metazoa	529	22	Validation_1
P83313	Opistophthalmus carinatus	Metazoa	82	22	Validation_1
G9M8X1	Nephotettix cincticeps	Metazoa	687	19	Validation_1
P49767	Homo sapiens	Metazoa	419	31	Validation_1
Q13445	Homo sapiens	Metazoa	227	23	Validation_1
O76537	Trichoplusia ni	Metazoa	182	16	Validation_1
A1IKL2	Anisakis simplex	Metazoa	152	18	Validation_1
O14773	Homo sapiens	Metazoa	563	19	Validation_1
Q02126	Hordeum vulgare	Viridiplantae	330	25	Validation_1
P13686	Homo sapiens	Metazoa	325	21	Validation_1
O60931	Homo sapiens	Metazoa	367	22	Validation_1
P24821	Homo sapiens	Metazoa	2201	22	Validation_1
P25404	Mirabilis jalapa	Viridiplantae	63	27	Validation_1
P97710	Rattus norvegicus	Metazoa	509	31	Validation_1
P04844	Homo sapiens	Metazoa	631	22	Validation_1
P80109	Bos taurus	Metazoa	839	23	Validation_1
Q76CA2	Monoplex parthenopeus	Metazoa	275	23	Validation_1
O62680	Sus scrofa	Metazoa	123	25	Validation_1
Q8MJV4	Bos taurus	Metazoa	122	24	Validation_1
F7J1C8	Flammulina velutipes	Fungi	249	21	Validation_1
Q13478	Homo sapiens	Metazoa	541	18	Validation_1
Q28143	Bos taurus	Metazoa	456	35	Validation_1
Q08334	Homo sapiens	Metazoa	325	19	Validation_2
Q9MYV1	Canis lupus familiaris	Metazoa	128	25	Validation_2
P09791	Trypanosoma brucei brucei	Other	129	27	Validation_2
Q5D710	Scylla serrata	Metazoa	126	24	Validation_2
Q9QYH7	Rattus norvegicus	Metazoa	117	23	Validation_2
P11150	Homo sapiens	Metazoa	499	22	Validation_2
P15289	Homo sapiens	Metazoa	507	18	Validation_2
Q62813	Rattus norvegicus	Metazoa	338	28	Validation_2
P02790	Homo sapiens	Metazoa	462	23	Validation_2
P17690	Bos taurus	Metazoa	345	19	Validation_2
O43852	Homo sapiens	Metazoa	315	19	Validation_2
P01221	Cyprinus carpio	Metazoa	118	23	Validation_2
Q8I817	Aplysia californica	Metazoa	88	19	Validation_2
Q6UWN5	Homo sapiens	Metazoa	251	25	Validation_2
Q12546	Aspergillus ficuum	Fungi	614	22	Validation_2
Q86R84	Dermatophagoides farinae	Metazoa	462	25	Validation_2
Q7M418	Oligobrachia mashikoi	Metazoa	163	16	Validation_2
O59896	Pycnoporus cinnabarinus	Fungi	518	21	Validation_2
Q9LRC8	Scutellaria baicalensis	Viridiplantae	527	25	Validation_2
Q5GQ85	Argas reflexus	Metazoa	159	16	Validation_2
Q5G8A6	Tityus costatus	Metazoa	87	19	Validation_2
A5HAK0	Danio rerio	Metazoa	149	22	Validation_2
Q08127	Anguilla anguilla	Metazoa	147	20	Validation_2
P08603	Homo sapiens	Metazoa	1231	18	Validation_2
O00206	Homo sapiens	Metazoa	839	23	Validation_2
P13727	Homo sapiens	Metazoa	222	16	Validation_2
P10257	Oncorhynchus keta	Metazoa	137	24	Validation_2
P81511	Hirudo medicinalis	Metazoa	81	15	Validation_2
Q13007	Homo sapiens	Metazoa	206	51	Validation_2
P34951	Hordeum vulgare	Viridiplantae	143	24	Validation_2
F1N5C8	Bos taurus	Metazoa	445	22	Validation_2
P59665	Homo sapiens	Metazoa	94	19	Validation_2
Q13231	Homo sapiens	Metazoa	466	21	Validation_2
Q8GT41	Platanus acerifolia	Viridiplantae	179	23	Validation_2
P81383	Ophiophagus hannah	Metazoa	491	20	Validation_2
Q9H5V8	Homo sapiens	Metazoa	836	29	Validation_2
Q20224	Caenorhabditis elegans	Metazoa	161	19	Validation_2
P29794	Canis lupus familiaris	Metazoa	180	20	Validation_2
P0DUS8	Doratifera vulnerans	Metazoa	59	17	Validation_2
C7G3K3	Liocheles australasiae	Metazoa	80	21	Validation_2
O14625	Homo sapiens	Metazoa	94	21	Validation_2
Q96FE7	Homo sapiens	Metazoa	263	21	Validation_2
P81295	Juniperus ashei	Viridiplantae	225	26	Validation_2
Q84UV8	Nicotiana langsdorffii x Nicotiana sanderae	Viridiplantae	274	25	Validation_2
P00533	Homo sapiens	Metazoa	1210	24	Validation_2
P45478	Bos taurus	Metazoa	306	27	Validation_2
Q9P246	Homo sapiens	Metazoa	746	14	Validation_2
Q9BZW8	Homo sapiens	Metazoa	370	21	Validation_2
Q9LJD9	Arabidopsis thaliana	Viridiplantae	60	27	Validation_2
O02380	Tyrophagus putrescentiae	Metazoa	141	15	Validation_2
O02826	Sus scrofa	Metazoa	111	20	Validation_2
P31025	Homo sapiens	Metazoa	176	18	Validation_2
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	51	Validation_2
Q805F3	Xenopus laevis	Metazoa	397	16	Validation_2
Q924B5	Rattus norvegicus	Metazoa	250	25	Validation_2
P17164	Rattus norvegicus	Metazoa	462	28	Validation_2
P24817	Momordica charantia	Viridiplantae	286	23	Validation_2
Q16627	Homo sapiens	Metazoa	93	19	Validation_2
A0A023W145	Ethmostigmus rubripes	Metazoa	88	24	Validation_2
Q95NJ8	Olivierus martensii	Metazoa	55	23	Validation_2
P69241	Raphanus sativus	Viridiplantae	80	29	Validation_2
Q06K77	Phlebotomus duboscqi	Metazoa	336	21	Validation_2
P35777	Solenopsis invicta	Metazoa	137	19	Validation_2
Q63191	Rattus norvegicus	Metazoa	1216	21	Validation_2
Q8MP06	Tyria jacobaeae	Metazoa	456	22	Validation_2
O18994	Sus scrofa	Metazoa	219	21	Validation_2
P18761	Mus musculus	Metazoa	317	17	Validation_2
Q6DWK3	Colletotrichum lindemuthianum	Fungi	248	26	Validation_2
Q95NY5	Anopheles stephensi	Metazoa	315	18	Validation_2
Q3C258	Actinia equina	Metazoa	70	20	Validation_2
O70280	Rattus norvegicus	Metazoa	212	26	Validation_2
O88188	Mus musculus	Metazoa	162	19	Validation_2
Q4W1I9	Zinnia elegans	Viridiplantae	321	30	Validation_2
Q41161	Robinia pseudoacacia	Viridiplantae	285	31	Validation_2
H6U1I8	Tanacetum cinerariifolium	Viridiplantae	365	27	Validation_2
Q9VH14	Drosophila melanogaster	Metazoa	210	27	Validation_2
P0DL40	Vespa magnifica	Metazoa	67	21	Validation_2
Q8TCT8	Homo sapiens	Metazoa	520	25	Validation_2
P23044	Robillarda sp. (strain Y-20)	Fungi	385	17	Validation_2
O35701	Mus musculus	Metazoa	481	27	Validation_2
P22362	Homo sapiens	Metazoa	96	23	Validation_2
Q8VCS0	Mus musculus	Metazoa	530	22	Validation_2
Q00802	Bombyx mori	Metazoa	256	17	Validation_2
Q8BHP7	Mus musculus	Metazoa	681	32	Validation_2
P23577	Chlamydomonas reinhardtii	Viridiplantae	317	31	Validation_2
P56202	Homo sapiens	Metazoa	376	21	Validation_2
F1RRV3	Sus scrofa	Metazoa	2692	19	Validation_2
Q99969	Homo sapiens	Metazoa	163	20	Validation_2
P07141	Mus musculus	Metazoa	552	32	Validation_2
O95715	Homo sapiens	Metazoa	111	34	Validation_2
P54803	Homo sapiens	Metazoa	685	42	Validation_2
Q8WMP9	Bos taurus	Metazoa	407	29	Validation_2
Q9NPG1	Homo sapiens	Metazoa	666	22	Validation_2
P10562	Canavalia gladiata	Viridiplantae	445	26	Validation_2
O42720	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)	Fungi	110	32	Validation_2
Q07092	Homo sapiens	Metazoa	1604	21	Validation_2
Q6ASY2	Oryza sativa subsp. japonica	Viridiplantae	178	26	Validation_2
Q14392	Homo sapiens	Metazoa	662	19	Validation_2
P48816	Bombyx mori	Metazoa	137	18	Validation_2
P86407	Mesobuthus eupeus	Metazoa	75	22	Validation_2
P62520	Chilobrachys guangxiensis	Metazoa	63	27	Validation_2
Q8J0D2	Geotrichum sp. (strain M128)	Fungi	812	23	Validation_2
Q96LA5	Homo sapiens	Metazoa	508	19	Validation_2
P0DQP8	Cerrophidion godmani	Metazoa	166	19	Validation_2
Q9P2K2	Homo sapiens	Metazoa	825	27	Validation_2
Q62192	Mus musculus	Metazoa	661	20	Validation_2
Q01965	Mus musculus	Metazoa	654	47	Validation_2
P26842	Homo sapiens	Metazoa	260	19	Validation_2
P0DUS6	Doratifera vulnerans	Metazoa	60	24	Validation_2
Q14210	Homo sapiens	Metazoa	128	20	Validation_2
P20507	Chlamydomonas reinhardtii	Viridiplantae	377	20	Validation_2
Q9UKY0	Homo sapiens	Metazoa	176	25	Validation_2
Q5EPH2	Rhipicephalus bursa	Metazoa	97	22	Validation_2
Q00954	Rattus norvegicus	Metazoa	218	18	Validation_2
Q6UWI4	Homo sapiens	Metazoa	295	33	Validation_2
Q9NPR2	Homo sapiens	Metazoa	837	43	Validation_2
P60153	Homo sapiens	Metazoa	205	26	Validation_2
A9UGV6	Oryza sativa subsp. japonica	Viridiplantae	61	26	Validation_2
Q6F4C6	Pinctada fucata	Metazoa	121	16	Validation_2
Q8T0W3	Pimpla hypochondriaca	Metazoa	63	25	Validation_2
Q969P0	Homo sapiens	Metazoa	613	27	Validation_2
P48747	Oryctolagus cuniculus	Metazoa	557	21	Validation_2
D3GDK4	Cryptopygus antarcticus	Metazoa	225	15	Validation_2
P81264	Bos taurus	Metazoa	98	22	Validation_2
Q29422	Ovis aries	Metazoa	333	20	Validation_2
K9N4Q4	Phlebotomus papatasi	Metazoa	246	23	Validation_2
P12024	Drosophila melanogaster	Metazoa	1315	29	Validation_2
Q6Z232	Oryza sativa subsp. japonica	Viridiplantae	146	42	Validation_2
Q15399	Homo sapiens	Metazoa	786	24	Validation_2
P15309	Homo sapiens	Metazoa	386	32	Validation_2
P28825	Mus musculus	Metazoa	747	20	Validation_2
A7VN15	Protobothrops flavoviridis	Metazoa	79	19	Validation_2
A4LAR6	Grifola frondosa	Fungi	107	24	Validation_2
P01538	Viscum album	Viridiplantae	111	26	Validation_2
Q42502	Solanum tuberosum	Viridiplantae	386	23	Validation_2
P10764	Ovis aries	Metazoa	179	24	Validation_2
P25311	Homo sapiens	Metazoa	298	20	Validation_2
Q8X150	Gaeumannomyces tritici	Fungi	618	16	Validation_2
P49256	Canis lupus familiaris	Metazoa	356	44	Validation_2
P14209	Homo sapiens	Metazoa	185	22	Validation_2
P01830	Rattus norvegicus	Metazoa	161	19	Validation_2
C9K4X8	Patiria pectinifera	Metazoa	116	29	Validation_2
P86872	Margaritifera margaritifera	Metazoa	260	19	Validation_2
Q86YT9	Homo sapiens	Metazoa	394	19	Validation_2
P54660	Dictyostelium discoideum	Other	143	22	Validation_2
P02783	Rattus norvegicus	Metazoa	112	21	Validation_2
P05090	Homo sapiens	Metazoa	189	20	Validation_2
P86798	Cupiennius salei	Metazoa	140	19	Validation_2
O00105	Aspergillus niger	Fungi	564	19	Validation_2
Q9D6Y1	Mus musculus	Metazoa	273	21	Validation_2
Q8I7X1	Porcellio scaber	Metazoa	145	21	Validation_2
P34115	Dictyostelium discoideum	Other	730	20	Validation_2
P01068	Ananas comosus	Viridiplantae	246	19	Validation_2
P17715	Octodon degus	Metazoa	109	24	Validation_2
Q6UXK5	Homo sapiens	Metazoa	716	25	Validation_2
P15018	Homo sapiens	Metazoa	202	22	Validation_2
Q92765	Homo sapiens	Metazoa	325	32	Validation_2
Q96HE7	Homo sapiens	Metazoa	468	23	Validation_2
P06911	Rattus norvegicus	Metazoa	188	19	Validation_2
P02765	Homo sapiens	Metazoa	367	18	Validation_2
Q9BXJ7	Homo sapiens	Metazoa	453	19	Validation_2
Q9YH85	Gallus gallus	Metazoa	2120	24	Validation_2
A0A1S6EK92	Moringa oleifera	Viridiplantae	79	20	Validation_2
P14384	Homo sapiens	Metazoa	443	17	Validation_2
Q8WUJ3	Homo sapiens	Metazoa	1361	30	Validation_2
P15270	Dictyostelium discoideum	Other	424	23	Validation_2
Q9H1M4	Homo sapiens	Metazoa	99	20	Validation_2
Q01638	Homo sapiens	Metazoa	556	18	Validation_2
P0DQE1	Scolopendra dehaani	Metazoa	109	23	Validation_2
P04937	Rattus norvegicus	Metazoa	2477	24	Validation_2
P55899	Homo sapiens	Metazoa	365	23	Validation_2
P86009	Dromaius novaehollandiae	Metazoa	238	17	Validation_2
Q8WWA0	Homo sapiens	Metazoa	313	18	Validation_2
Q27908	Pinctada fucata	Metazoa	447	17	Validation_2
Q02747	Homo sapiens	Metazoa	115	21	Validation_3
I3LGZ3	Sus scrofa	Metazoa	81	24	Validation_3
Q653V7	Oryza sativa subsp. japonica	Viridiplantae	885	33	Validation_3
Q9NRR1	Homo sapiens	Metazoa	136	22	Validation_3
P19320	Homo sapiens	Metazoa	739	24	Validation_3
P23142	Homo sapiens	Metazoa	703	29	Validation_3
P26010	Homo sapiens	Metazoa	798	19	Validation_3
P13671	Homo sapiens	Metazoa	934	21	Validation_3
B0JFB8	Antheraea mylitta	Metazoa	105	19	Validation_3
P36897	Homo sapiens	Metazoa	503	33	Validation_3
Q6IUU3	Rattus norvegicus	Metazoa	750	32	Validation_3
Q8I948	Acanthoscurria gomesiana	Metazoa	156	23	Validation_3
Q5ZPR3	Homo sapiens	Metazoa	534	28	Validation_3
Q17058	Apis mellifera	Metazoa	567	17	Validation_3
Q99944	Homo sapiens	Metazoa	293	25	Validation_3
I6S390	Scolopendra mutilans	Metazoa	76	22	Validation_3
P33487	Arabidopsis thaliana	Viridiplantae	198	33	Validation_3
P18709	Xenopus laevis	Metazoa	1807	15	Validation_3
P02466	Rattus norvegicus	Metazoa	1372	22	Validation_3
Q8NBM8	Homo sapiens	Metazoa	494	22	Validation_3
Q9ZT64	Pinus contorta	Viridiplantae	513	23	Validation_3
Q01460	Rattus norvegicus	Metazoa	367	23	Validation_3
P31358	Homo sapiens	Metazoa	61	24	Validation_3
O00092	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	465	26	Validation_3
P28798	Mus musculus	Metazoa	589	17	Validation_3
Q96BF3	Homo sapiens	Metazoa	282	22	Validation_3
Q6IV20	Gallus gallus	Metazoa	104	22	Validation_3
P07727	Rattus norvegicus	Metazoa	457	28	Validation_3
Q8NI17	Homo sapiens	Metazoa	732	19	Validation_3
P11215	Homo sapiens	Metazoa	1152	16	Validation_3
P09619	Homo sapiens	Metazoa	1106	32	Validation_3
P59938	Olivierus martensii	Metazoa	57	21	Validation_3
P22864	Aspergillus niger	Fungi	373	19	Validation_3
Q9NRC9	Homo sapiens	Metazoa	128	17	Validation_3
P14770	Homo sapiens	Metazoa	177	16	Validation_3
Q6UW88	Homo sapiens	Metazoa	154	22	Validation_3
P23515	Homo sapiens	Metazoa	440	24	Validation_3
P85261	Actinidia chinensis var. chinensis	Viridiplantae	213	24	Validation_3
O15455	Homo sapiens	Metazoa	904	23	Validation_3
A0A7M6UMR7	Apis mellifera	Metazoa	1010	16	Validation_3
P51688	Homo sapiens	Metazoa	502	20	Validation_3
Q8NBL1	Homo sapiens	Metazoa	392	23	Validation_3
P01269	Sus scrofa	Metazoa	115	25	Validation_3
Q29381	Sus scrofa	Metazoa	439	25	Validation_3
P14448	Gallus gallus	Metazoa	741	18	Validation_3
Q4V4I9	Drosophila melanogaster	Metazoa	182	22	Validation_3
Q53B52	Ophiophagus hannah	Metazoa	78	21	Validation_3
Q29W25	Crocus sativus	Viridiplantae	168	26	Validation_3
P80356	Avena sativa	Viridiplantae	220	19	Validation_3
P20826	Mus musculus	Metazoa	273	25	Validation_3
Q63617	Rattus norvegicus	Metazoa	999	32	Validation_3
O43291	Homo sapiens	Metazoa	252	27	Validation_3
P17301	Homo sapiens	Metazoa	1181	29	Validation_3
P81623	Bos taurus	Metazoa	258	29	Validation_3
P05067	Homo sapiens	Metazoa	770	17	Validation_3
Q59Y31	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	533	21	Validation_3
Q9UNE0	Homo sapiens	Metazoa	448	26	Validation_3
A1BQQ5	Conus marmoreus	Metazoa	289	24	Validation_3
Q05091	Pyrus communis	Viridiplantae	330	24	Validation_3
Q86LE5	Rhipicephalus microplus	Metazoa	110	20	Validation_3
B0CPC6	Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686)	Fungi	206	21	Validation_3
Q86WA6	Homo sapiens	Metazoa	291	37	Validation_3
P15450	Apis mellifera	Metazoa	53	19	Validation_3
P04119	Sus scrofa	Metazoa	178	18	Validation_3
P30986	Eschscholzia californica	Viridiplantae	538	23	Validation_3
Q24824	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	96	19	Validation_3
D7UQ40	Alternaria solani	Fungi	515	25	Validation_3
P53616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	24	Validation_3
P0DSJ6	Myrmecia gulosa	Metazoa	62	24	Validation_3
P40967	Homo sapiens	Metazoa	661	24	Validation_3
P13806	Oryctolagus cuniculus	Metazoa	1106	26	Validation_3
P15247	Mus musculus	Metazoa	144	18	Validation_3
Q8MI35	Sus scrofa	Metazoa	152	32	Validation_3
E0XKJ8	Tabanus yao	Metazoa	256	16	Validation_3
P18684	Protophormia terraenovae	Metazoa	101	18	Validation_3
P00996	Bos taurus	Metazoa	79	23	Validation_3
Q39962	Hevea brasiliensis	Viridiplantae	238	31	Validation_3
P0C8E8	Rhipicephalus sanguineus	Metazoa	86	20	Validation_3
Q95P90	Olivierus martensii	Metazoa	94	22	Validation_3
Q9P0V8	Homo sapiens	Metazoa	285	22	Validation_3
Q9TRM8	Canis lupus familiaris	Metazoa	177	25	Validation_3
P16636	Rattus norvegicus	Metazoa	411	21	Validation_3
Q6T6C2	Theromyzon tessulatum	Metazoa	97	22	Validation_3
P84843	Hybomitra bimaculata	Metazoa	76	20	Validation_3
Q5UCC4	Homo sapiens	Metazoa	262	25	Validation_3
